date,equity_usd
2010-10-29,13622.601806640614
2010-11-01,13622.601806640614
2010-11-02,13622.601806640614
2010-11-03,13622.601806640614
2010-11-04,13622.601806640614
2010-11-05,13622.601806640614
2010-11-08,13622.601806640614
2010-11-09,13622.601806640614
2010-11-10,13622.601806640614
2010-11-11,13622.601806640614
2010-11-12,13622.601806640614
2010-11-15,13520.101806640614
2010-11-16,11725.101806640614
2010-11-17,11987.601806640614
2010-11-18,13702.101806640614
2010-11-19,13702.101806640614
2010-11-22,13702.101806640614
2010-11-23,13702.101806640614
2010-11-24,13702.101806640614
2010-11-26,13702.101806640614
2010-11-29,13702.101806640614
2010-11-30,13702.101806640614
2010-12-01,13702.101806640614
2010-12-02,13702.101806640614
2010-12-03,13702.101806640614
2010-12-06,13702.101806640614
2010-12-07,13702.101806640614
2010-12-08,13702.101806640614
2010-12-09,13702.101806640614
2010-12-10,13702.101806640614
2010-12-13,13702.101806640614
2010-12-14,13702.101806640614
2010-12-15,13702.101806640614
2010-12-16,13702.101806640614
2010-12-17,13702.101806640614
2010-12-20,13702.101806640614
2010-12-21,13702.101806640614
2010-12-22,13702.101806640614
2010-12-23,13702.101806640614
2010-12-27,13702.101806640614
2010-12-28,13702.101806640614
2010-12-29,13702.101806640614
2010-12-30,13702.101806640614
2010-12-31,13702.101806640614
2011-01-03,14378.101806640614
2011-01-04,14378.101806640614
2011-01-05,14378.101806640614
2011-01-06,14378.101806640614
2011-01-07,14378.101806640614
2011-01-10,14378.101806640614
2011-01-11,14378.101806640614
2011-01-12,14378.101806640614
2011-01-13,14378.101806640614
2011-01-14,14378.101806640614
2011-01-18,14378.101806640614
2011-01-19,14378.101806640614
2011-01-20,14378.101806640614
2011-01-21,14378.101806640614
2011-01-24,14958.101806640614
2011-01-25,15009.101806640614
2011-01-26,15009.101806640614
2011-01-27,15009.101806640614
2011-01-28,15009.101806640614
2011-01-31,15009.101806640614
2011-02-01,15009.101806640614
2011-02-02,15009.101806640614
2011-02-03,15009.101806640614
2011-02-04,15009.101806640614
2011-02-07,15009.101806640614
2011-02-08,15009.101806640614
2011-02-09,15009.101806640614
2011-02-10,15009.101806640614
2011-02-11,15009.101806640614
2011-02-14,15009.101806640614
2011-02-15,15009.101806640614
2011-02-16,15009.101806640614
2011-02-17,15009.101806640614
2011-02-18,15009.101806640614
2011-02-22,15009.101806640614
2011-02-23,14644.101806640614
2011-02-24,14601.601806640614
2011-02-25,16137.601806640614
2011-02-28,16471.101806640614
2011-03-01,16471.101806640614
2011-03-02,16471.101806640614
2011-03-03,16471.101806640614
2011-03-04,16471.101806640614
2011-03-07,16471.101806640614
2011-03-08,16471.101806640614
2011-03-09,16471.101806640614
2011-03-10,16471.101806640614
2011-03-11,16916.101806640614
2011-03-14,16651.101806640614
2011-03-15,15761.101806640614
2011-03-16,15031.101806640614
2011-03-17,16131.101806640614
2011-03-18,17089.299072265614
2011-03-21,17916.10244589289
2011-03-22,17916.10244589289
2011-03-23,17916.10244589289
2011-03-24,17916.10244589289
2011-03-25,17916.10244589289
2011-03-28,17916.10244589289
2011-03-29,17916.10244589289
2011-03-30,17916.10244589289
2011-03-31,17916.10244589289
2011-04-01,17916.10244589289
2011-04-04,17916.10244589289
2011-04-05,17916.10244589289
2011-04-06,17916.10244589289
2011-04-07,17916.10244589289
2011-04-08,17916.10244589289
2011-04-11,17916.10244589289
2011-04-12,17053.60244589289
2011-04-13,17388.60244589289
2011-04-14,17308.60244589289
2011-04-15,17884.60244589289
2011-04-18,17489.60244589289
2011-04-19,17909.60244589289
2011-04-20,18775.60244589289
2011-04-21,18775.60244589289
2011-04-25,18775.60244589289
2011-04-26,18775.60244589289
2011-04-27,18775.60244589289
2011-04-28,18775.60244589289
2011-04-29,18775.60244589289
2011-05-02,18775.60244589289
2011-05-03,18775.60244589289
2011-05-04,18775.60244589289
2011-05-05,18275.60244589289
2011-05-06,18140.60244589289
2011-05-09,18799.10244589289
2011-05-10,19320.10244589289
2011-05-11,19320.10244589289
2011-05-12,19320.10244589289
2011-05-13,19320.10244589289
2011-05-16,19320.10244589289
2011-05-17,19375.10244589289
2011-05-18,19860.10244589289
2011-05-19,19996.10244589289
2011-05-20,19996.10244589289
2011-05-23,19996.10244589289
2011-05-24,19996.10244589289
2011-05-25,20301.10244589289
2011-05-26,21087.10244589289
2011-05-27,21218.10244589289
2011-05-31,21218.10244589289
2011-06-01,21218.10244589289
2011-06-02,21218.10244589289
2011-06-03,21218.10244589289
2011-06-06,20655.60244589289
